age,interest,success
23.657800719276743,18.859916797201468,0.0
22.573729142097473,17.96922325097786,0.0
32.55342396968757,29.463651408558803,0.0
6.718035041529263,25.704665468161718,1.0
14.401918566243225,16.770856492924658,0.0
17.457907312962234,21.76521470574044,0.0
20.02796946568093,73.45445954770891,1.0
30.295138369778076,62.901112886193246,1.0
15.128977804449633,32.40267702110393,0.0
30.179457395820013,58.982492125646104,1.0
28.01649701854089,63.92781357637711,1.0
16.791838457871147,42.33482314089884,0.0
10.583694293380976,19.61926728942497,0.0
26.634447074406467,91.96624817360987,1.0
26.217868623367643,36.400293587062976,0.0
17.689396788624936,60.79797114006423,1.0
33.17193822527976,66.75277364959176,1.0
23.793952755709153,22.57501437360518,0.0
37.844484133572124,36.320623921263156,1.0
35.16135413357336,33.16395078484642,1.0
29.380894071974286,25.28297332192533,0.0
31.65893504663792,73.13603413708854,1.0
22.395840526778827,96.52036923305359,1.0
42.16637769301011,35.625714507549965,1.0
22.2355137049394,57.17122331160564,1.0
33.541272860059294,65.9622761867375,1.0
24.39165050609465,18.497414110064625,0.0
12.432182523835493,21.974367129932908,0.0
30.661148731501946,71.82244066557348,1.0
28.506478825724248,69.19427715370759,1.0
39.25524757112427,72.28256649083056,1.0
17.270592949490734,17.715127621418127,0.0
18.639151332834622,59.9683636449453,1.0
17.8915974615346,87.56584295961686,1.0
34.05068532984098,31.81089814279712,0.0
35.23149158419532,32.622396056659134,1.0
36.48082697155118,66.2587974889955,1.0
19.35538293227183,62.826644047347315,1.0
12.617491228325854,18.069521068998423,0.0
32.44092454757863,68.94155513392485,1.0
12.079677459079498,68.71140668091543,1.0
19.426427086092282,61.86390592600478,1.0
13.611283980573088,32.893606411454336,0.0
36.99972159697915,31.251006231521078,1.0
17.348596011972855,58.15641358186697,1.0
35.001755200657826,62.553617808120066,1.0
21.336407327878508,71.74235304832945,1.0
20.113959229388538,28.021839767956518,0.0
36.119157691205245,40.080954306524326,1.0
12.571706027909261,43.638702019857035,1.0
26.39565853362991,64.0494497146834,1.0
9.184899999780813,36.73224646414853,0.0
35.716721861403144,28.389938912832786,1.0
9.66233614215821,62.7011496734546,0.0
26.359219523846626,60.52143316893014,1.0
20.103792076344373,42.870033218014505,0.0
35.04583782416973,24.60322895303944,1.0
32.21910831848193,69.39507329876943,1.0
33.89583454567307,29.425013063439582,0.0
22.159170444510202,35.162548058361224,0.0
18.835070295849285,65.17109750597011,1.0
26.203225326833696,21.770221500985627,0.0
25.652692344181048,56.42681382538722,1.0
17.035218965566784,74.00745702512323,1.0
15.641443596778778,58.81209222706911,1.0
28.847558703182585,65.17187585640183,1.0
20.319084136621697,61.42627284145177,1.0
23.67921122223151,34.41849166154442,0.0
13.253034158185756,74.8383063239026,1.0
34.45128052396524,80.50850261848089,1.0
34.802459372497694,33.13384953588394,1.0
22.11109376356663,18.010155626356514,0.0
38.110522850564884,71.02351894055181,1.0
22.95331041813091,41.13226354003835,0.0
30.140475671571235,10.352901953425985,0.0
15.16138073258439,54.157495280350616,1.0
24.816853387754495,97.1755075384403,1.0
28.612585671087274,66.7077271514257,1.0
19.34804183530389,73.88198827576235,1.0
20.52272683990236,32.217625860990964,0.0
13.210190896577277,52.05751666738616,1.0
22.48072390766698,16.297881928913228,0.0
